competitor_product_id,country,price_type,value,currency,observed_at,source_id
sharkninja-ninja-foodi-dz401,United States,OFFICIAL_PRICE,179.99,USD,2026-08-27,src-9ba03f99dcf9
cosori-pro-le-caf-l501,United States,OFFICIAL_PRICE,89.99,USD,2026-08-27,src-089ce0adba1b
bajaj-gx15-mixer,India,OFFICIAL_PRICE,4125,INR,2026-08-27,src-720009f00dec
bajaj-glamore-1000w,India,OFFICIAL_PRICE,10790,INR,2026-08-27,src-bfe5ef7f091d
instantpot-duo-6qt,United States,OFFICIAL_PRICE,109.99,USD,2026-08-27,src-2a3e7ee4aa25
vitamix-5200,United States,OFFICIAL_PRICE,679.95,USD,2026-08-27,src-4a6b99eb4579
tefal-sv9202,Netherlands,OFFICIAL_PRICE,156.09,EUR,2026-08-27,src-158e7c841b67
tefal-gv9567,Netherlands,OFFICIAL_PRICE,230.99,EUR,2026-08-27,src-158e7c841b67
tefal-gv9810,Netherlands,OFFICIAL_PRICE,289.09,EUR,2026-08-27,src-158e7c841b67
braun-carestyle5,Germany,OFFICIAL_PRICE,239.90,EUR,2026-08-27,src-fbbd8c1352f5
braun-carestyle7pro,Germany,PROMOTIONAL,349.65,EUR,2026-08-27,src-25f112436434
steamone-george2,France,OFFICIAL_PRICE,249.00,EUR,2026-08-27,src-ac27ca188853
dyson-purifier-cool-tp07,Netherlands,OFFICIAL_PRICE,649.00,EUR,2026-08-27,src-68e8e6b0abd8
dyson-purifier-humidify-cool-ph04,Netherlands,OFFICIAL_PRICE,799.00,EUR,2026-08-27,src-af1d52555c1a
ikea-starkvind,Netherlands,OFFICIAL_PRICE,119.00,EUR,2026-08-27,src-8d1a8fa1b680
winix-t800,United Kingdom,PROMOTIONAL,129.00,GBP,2026-08-27,src-9652b0161bd0
coway-airmega-150,United Kingdom,PROMOTIONAL,159.99,GBP,2026-08-27,src-a80922df1d87
coway-airmega-mighty,United Kingdom,OFFICIAL_PRICE,219.99,GBP,2026-08-27,src-3f5eebb68a41
levoit-core-300s,United Kingdom,OFFICIAL_PRICE,149.99,GBP,2026-08-27,src-4248e3ef755d
levoit-oasismist,United Kingdom,OFFICIAL_PRICE,99.99,GBP,2026-08-27,src-2c7426755806
delonghi-magnifica-evo,Netherlands,OFFICIAL_PRICE,374,EUR,2026-08-27,src-c426ade87532
delonghi-primadonna-soul,Netherlands,OFFICIAL_PRICE,999,EUR,2026-08-27,src-376315dbcccd
jura-e8,Netherlands,OFFICIAL_PRICE,1079,EUR,2026-08-27,src-2803765b861a
melitta-barista-t-smart,Netherlands,OFFICIAL_PRICE,743,EUR,2026-08-27,src-2302286267a9
nespresso-vertuo-next,Netherlands,OFFICIAL_PRICE,149,EUR,2026-08-27,src-13bf8991ff89
sage-barista-express,Netherlands,OFFICIAL_PRICE,493,EUR,2026-08-27,src-aced02fcbd4d
krups-dolce-gusto-piccolo-xs,Netherlands,OFFICIAL_PRICE,59,EUR,2026-08-27,src-1ace9a2c2e28
