family_id,brand_id,category_id,family_name,series_name,status,first_seen_evidence,source_ids,notes
preethi-mg-zodiac,preethi,preethi-mixer-grinders,Zodiac,,CURRENT,,src-preethi-004,
preethi-mg-blueleaf,preethi,preethi-mixer-grinders,Blue Leaf,,CURRENT,,src-preethi-004,
preethi-mg-eco,preethi,preethi-mixer-grinders,Eco / Eco Plus / Eco Fresh / Eco Chef,,CURRENT,,src-preethi-004,
preethi-mg-diamond,preethi,preethi-mixer-grinders,Diamond,,CURRENT,,src-preethi-004,
preethi-mg-unbranded,preethi,preethi-mixer-grinders,Boltz / Taurus Plus / Tiara,,CURRENT,,src-preethi-004,unbranded/value lines
preethi-gs-glamsteel,preethi,preethi-gas-stoves,Glamsteel,,CURRENT,,src-preethi-005,
preethi-gs-silverin,preethi,preethi-gas-stoves,Silverin,,CURRENT,,src-preethi-005,
preethi-gs-bluflame,preethi,preethi-gas-stoves,Bluflame (Jumbo/Gleam/Zeal),,CURRENT,,src-preethi-005,
preethi-gs-valentino,preethi,preethi-gas-stoves,Valentino,,CURRENT,,src-preethi-005,
preethi-gs-luxe,preethi,preethi-gas-stoves,Luxe / Sparkle Power Duo / Topaz / Elda,,CURRENT,,src-preethi-005,
preethi-ic-indicook,preethi,preethi-induction-cooktops,"Indicook (Trendy Plus, IC125)",,CURRENT,,src-preethi-007,
preethi-ch-alcor,preethi,preethi-chimneys,ALCOR,,CURRENT,,src-preethi-008,
preethi-ch-alya,preethi,preethi-chimneys,ALYA,,UNKNOWN,,src-preethi-008,"named in nav copy, no live SKU found"
preethi-pc-aluminium,preethi,preethi-pressure-cookers,Aluminium Series,,CURRENT,,src-preethi-009,
preethi-pc-ss-triply,preethi,preethi-pressure-cookers,Stainless Steel / Tri-Ply Series,,UNKNOWN,,src-preethi-009,"named, individual SKUs not confirmed"
preethi-cw-dura,preethi,preethi-cookware,Dura Collection,,CURRENT,,src-preethi-006,
preethi-cw-csw,preethi,preethi-cookware,CSW (Greblon-coated),,CURRENT,,src-preethi-006,
philips-air-600,philips,philips-air-climate,600/600i series,,CURRENT,,src-73f7b32c78d2,
philips-air-800,philips,philips-air-climate,800/800i series,,LEGACY,,src-73f7b32c78d2,
