image_id,product_id,image_type,verification_status,source_page,asset_url,local_path,sha256,width,height,format,retrieved_at
img-preethi-001,preethi-mg-zodiac-mg218,HERO_FRONT,EXACT_VERIFIED,https://www.shop.preethi.in/products/preethi-zodiac-mg218,https://www.shop.preethi.in/cdn/shop/files/1_58dbf82d-3382-4f78-b552-bd94bdd9ba8a.jpg?v=1753438995,,,,,jpg,2026-08-26
img-preethi-002,preethi-gs-glamsteel-3b,HERO_FRONT,EXACT_VERIFIED,https://www.shop.preethi.in/products/preethi-glamsteel-3-burner-stainless-steel-gas-stove-manual-ignition-isi-certified-lifelong-free-service,https://www.shop.preethi.in/cdn/shop/files/00_4f2bfe54-86c5-4634-881b-e7f3f3f89050.png?v=1785841083,,,,,png,2026-08-26
img-preethi-003,preethi-cw-kadai26,HERO_FRONT,EXACT_VERIFIED,https://www.shop.preethi.in/products/preethi-dura-collection-non-stick-kadai-26-cm-with-glass-lid-gas-induction-compatible-5-star-non-stick-effect-chilly-red-8901225360332,https://www.shop.preethi.in/cdn/shop/files/8901225360332.png?v=1746783385,,,,,png,2026-08-26
img-preethi-004,preethi-ic-ic125,HERO_FRONT,EXACT_VERIFIED,https://www.shop.preethi.in/products/preethi-indicook-ic125-2100-watt-induction-cooktop-feather-touch-operation-with-crystal-glass-black-8901225061253,https://www.shop.preethi.in/cdn/shop/files/8901225061253_1.jpg?v=1746783365,,,,,jpg,2026-08-26
img-preethi-005,preethi-ch-kh311,HERO_FRONT,EXACT_VERIFIED,https://www.shop.preethi.in/products/preethi-chimney-auto-clean-wall-mounted-alcor-with-aluminium-duct-black-1350-90-cm-motion-sensor-operation-lifelong-free-service-kh311,https://www.shop.preethi.in/cdn/shop/files/kh311copy_0356d9c2-7e66-4d69-b0de-d93a1a523c8c.jpg?v=1787042877,,,,,jpg,2026-08-26
img-preethi-006,preethi-pc-pc024,HERO_FRONT,EXACT_VERIFIED,https://www.shop.preethi.in/products/preethi-induction-base-outer-lid-aluminium-pressure-cooker-5-litres-spill-splash-shield-pc-024-8901225220247,https://www.shop.preethi.in/cdn/shop/files/PC005_1.png?v=1746783403,,,,,png,2026-08-26
img-6ff12425a803,philips-air-ac0651-10,HERO_FRONT,EXACT_VERIFIED,https://www.home-appliances.philips/gb/en/p/AC0651_10,https://dam.versuni.com/transform/webp1024x1024/30ee83e7-debd-48bc-927f-1d8de0f22bb3/AC0651_RFT_Retail_RGB-jpg.webp,,,,,webp,2026-08-26
img-5f06fcff683d,philips-air-ac0920-10,HERO_FRONT,EXACT_VERIFIED,https://www.home-appliances.philips/gb/en/p/AC0920_10,https://dam.versuni.com/transform/webp1024x1024/c16a7ca8-6b1e-4a44-a097-f78b0c5ca712/CC_2024_AC0920_10_RFT_Fullframe-tif.webp,,,,,webp,2026-08-26
img-82f40940ddb2,philips-air-ac0951-13,HERO_FRONT,EXACT_VERIFIED,https://www.home-appliances.philips/gb/en/p/AC0951_13,https://dam.versuni.com/transform/webp1024x1024/ec436267-1c44-4c3e-b61b-01f52a030d20/CC_2024_AC0951_13_RFT_Fullframe-tif.webp,,,,,webp,2026-08-26
img-d57e89460f9d,philips-air-ac1715-41,HERO_FRONT,EXACT_VERIFIED,https://www.usa.philips.com/c-p/AC1715_41/1000i-series-air-purifier-for-medium-rooms,https://images.philips.com/is/image/philipsconsumer/vrs_bbc9e859_8763_489a_9ff9670543709a17?$png$&wid=410&hei=410&fit=constrain,,,,,png,2026-08-26
