product_id,country,seller_source,price_type,value,currency,vat_state,promo_or_regular,observed_at,source_id
preethi-mg-zodiac-mg218,India,Preethi official store (shop.preethi.in),OFFICIAL_PRICE,10699,INR,incl. taxes per page,current selling price (site shows as discounted from MRP),2026-08-26,src-preethi-p-zodiac-mg218
preethi-mg-zodiac-mg218,India,Preethi official store (shop.preethi.in),OFFICIAL_RRP,13699,INR,incl. taxes per page,MRP (strikethrough reference),2026-08-26,src-preethi-p-zodiac-mg218
preethi-mg-zodiac2-mg255,India,Preethi official store (shop.preethi.in),OFFICIAL_PRICE,16245,INR,incl. taxes per page,current selling price (site shows as discounted from MRP),2026-08-26,src-preethi-p-zodiac2-mg255
preethi-mg-zodiac2-mg255,India,Preethi official store (shop.preethi.in),OFFICIAL_RRP,20345,INR,incl. taxes per page,MRP (strikethrough reference),2026-08-26,src-preethi-p-zodiac2-mg255
preethi-mg-blueleaf-mg281,India,Preethi official store (shop.preethi.in),OFFICIAL_PRICE,10745,INR,incl. taxes per page,current selling price (site shows as discounted from MRP),2026-08-26,src-preethi-p-blueleaf-mg281
preethi-mg-blueleaf-mg281,India,Preethi official store (shop.preethi.in),OFFICIAL_RRP,14445,INR,incl. taxes per page,MRP (strikethrough reference),2026-08-26,src-preethi-p-blueleaf-mg281
preethi-mg-diamond-mg214,India,Preethi official store (shop.preethi.in),OFFICIAL_PRICE,3799,INR,incl. taxes per page,current selling price (site shows as discounted from MRP),2026-08-26,src-preethi-p-diamond-mg214
preethi-mg-diamond-mg214,India,Preethi official store (shop.preethi.in),OFFICIAL_RRP,9699,INR,incl. taxes per page,MRP (strikethrough reference),2026-08-26,src-preethi-p-diamond-mg214
preethi-mg-ecoplus-mg138,India,Preethi official store (shop.preethi.in),OFFICIAL_PRICE,6799,INR,incl. taxes per page,current selling price (site shows as discounted from MRP),2026-08-26,src-preethi-p-ecoplus-mg138
preethi-mg-ecoplus-mg138,India,Preethi official store (shop.preethi.in),OFFICIAL_RRP,7499,INR,incl. taxes per page,MRP (strikethrough reference),2026-08-26,src-preethi-p-ecoplus-mg138
preethi-gs-glamsteel-3b,India,Preethi official store (shop.preethi.in),OFFICIAL_PRICE,10599,INR,incl. taxes per page,current selling price (site shows as discounted from MRP),2026-08-26,src-preethi-p-glamsteel
preethi-gs-glamsteel-3b,India,Preethi official store (shop.preethi.in),OFFICIAL_RRP,15899,INR,incl. taxes per page,MRP (strikethrough reference),2026-08-26,src-preethi-p-glamsteel
preethi-gs-silverin-2b,India,Preethi official store (shop.preethi.in),OFFICIAL_PRICE,6399,INR,incl. taxes per page,current selling price (site shows as discounted from MRP),2026-08-26,src-preethi-p-silverin
preethi-gs-silverin-2b,India,Preethi official store (shop.preethi.in),OFFICIAL_RRP,9299,INR,incl. taxes per page,MRP (strikethrough reference),2026-08-26,src-preethi-p-silverin
preethi-gs-valentino-gts121,India,Preethi official store (shop.preethi.in),OFFICIAL_PRICE,10445,INR,incl. taxes per page,current selling price (site shows as discounted from MRP),2026-08-26,src-preethi-p-valentino
preethi-gs-valentino-gts121,India,Preethi official store (shop.preethi.in),OFFICIAL_RRP,14845,INR,incl. taxes per page,MRP (strikethrough reference),2026-08-26,src-preethi-p-valentino
preethi-ic-ic125,India,Preethi official store (shop.preethi.in),OFFICIAL_PRICE,3928,INR,incl. taxes per page,current selling price (site shows as discounted from MRP),2026-08-26,src-preethi-p-indicook-ic125
preethi-ic-ic125,India,Preethi official store (shop.preethi.in),OFFICIAL_RRP,5945,INR,incl. taxes per page,MRP (strikethrough reference),2026-08-26,src-preethi-p-indicook-ic125
preethi-ic-ic116,India,Preethi official store (shop.preethi.in),OFFICIAL_PRICE,3399,INR,incl. taxes per page,current selling price (site shows as discounted from MRP),2026-08-26,src-preethi-p-indicook-ic116
preethi-ic-ic116,India,Preethi official store (shop.preethi.in),OFFICIAL_RRP,5045,INR,incl. taxes per page,MRP (strikethrough reference),2026-08-26,src-preethi-p-indicook-ic116
preethi-ch-kh311,India,Preethi official store (shop.preethi.in),OFFICIAL_PRICE,24900,INR,incl. taxes per page,current selling price (site shows as discounted from MRP),2026-08-26,src-preethi-p-alcor-kh311
preethi-ch-kh311,India,Preethi official store (shop.preethi.in),OFFICIAL_RRP,33179,INR,incl. taxes per page,MRP (strikethrough reference),2026-08-26,src-preethi-p-alcor-kh311
preethi-ch-kh317,India,Preethi official store (shop.preethi.in),OFFICIAL_PRICE,29999,INR,incl. taxes per page,regular,2026-08-26,src-preethi-p-alcor-kh317
preethi-pc-pc024,India,Preethi official store (shop.preethi.in),OFFICIAL_PRICE,1958,INR,incl. taxes per page,current selling price (site shows as discounted from MRP),2026-08-26,src-preethi-p-pc024
preethi-pc-pc024,India,Preethi official store (shop.preethi.in),OFFICIAL_RRP,2620,INR,incl. taxes per page,MRP (strikethrough reference),2026-08-26,src-preethi-p-pc024
preethi-cw-kadai26,India,Preethi official store (shop.preethi.in),OFFICIAL_PRICE,1405,INR,incl. taxes per page,current selling price (site shows as discounted from MRP),2026-08-26,src-preethi-p-kadai26
preethi-cw-kadai26,India,Preethi official store (shop.preethi.in),OFFICIAL_RRP,2021,INR,incl. taxes per page,MRP (strikethrough reference),2026-08-26,src-preethi-p-kadai26
preethi-cw-csw037,India,Preethi official store (shop.preethi.in),OFFICIAL_PRICE,748,INR,incl. taxes per page,current selling price (site shows as discounted from MRP),2026-08-26,src-preethi-p-csw037
