product_id,brand_id,category_id,family_id,sku,model_name,regional_suffix,colour,voltage,region,current_status,status_evidence_id,launch_date,launch_date_confidence,official_url,support_url,manual_url,source_ids,missing_fields,confidence
preethi-mg-zodiac-mg218,preethi,preethi-mixer-grinders,preethi-mg-zodiac,MG218,Preethi Zodiac,,,230V,India,CURRENT,src-preethi-p-zodiac-mg218,,,https://www.shop.preethi.in/products/preethi-zodiac-mg218,,,src-preethi-p-zodiac-mg218,launch_date|support_url|manual_url,MEDIUM
preethi-mg-zodiac2-mg255,preethi,preethi-mixer-grinders,preethi-mg-zodiac,MG255,Preethi Zodiac 2.0,,,,India,CURRENT,src-preethi-p-zodiac2-mg255,,,https://www.shop.preethi.in/products/preethi-zodiac-2-0-1000w-mg255,,,src-preethi-p-zodiac2-mg255,launch_date|voltage|support_url|manual_url,MEDIUM
preethi-mg-blueleaf-mg281,preethi,preethi-mixer-grinders,preethi-mg-blueleaf,MG281,Preethi Blue Leaf Titanium 15.0,,,,India,CURRENT,src-preethi-p-blueleaf-mg281,,,https://www.shop.preethi.in/products/preethi-blue-leaf-titanium-15-0-mg-281-8901225782813,,,src-preethi-p-blueleaf-mg281,launch_date|voltage,MEDIUM
preethi-mg-diamond-mg214,preethi,preethi-mixer-grinders,preethi-mg-diamond,MG214,Preethi Diamond 750W,,,,India,CURRENT,src-preethi-p-diamond-mg214,,,https://www.shop.preethi.in/products/preethi-platinum-diamond-mg214-002,,,src-preethi-p-diamond-mg214,launch_date|voltage,MEDIUM
preethi-mg-ecoplus-mg138,preethi,preethi-mixer-grinders,preethi-mg-eco,MG138,Preethi Eco Plus 110V,,,110V,USA/Canada,CURRENT,src-preethi-p-ecoplus-mg138,,,https://www.shop.preethi.in/products/preethi-eco-plus-110-v-local-mg-138,,,src-preethi-p-ecoplus-mg138,launch_date,HIGH
preethi-gs-glamsteel-3b,preethi,preethi-gas-stoves,preethi-gs-glamsteel,UNVERIFIED-preethi-gs-glamsteel-3b,Preethi Glamsteel 3 Burner SS Gas Stove,,Stainless Steel,,India,CURRENT,src-preethi-p-glamsteel,,,https://www.shop.preethi.in/products/preethi-glamsteel-3-burner-stainless-steel-gas-stove-manual-ignition-isi-certified-lifelong-free-service,,,src-preethi-p-glamsteel,exact_sku_code|launch_date,MEDIUM
preethi-gs-silverin-2b,preethi,preethi-gas-stoves,preethi-gs-silverin,UNVERIFIED-preethi-gs-silverin-2b,Preethi Silverin 2 Burner Glass Top,,Glass Top,,India,CURRENT,src-preethi-p-silverin,,,https://www.shop.preethi.in/products/preethi-silverin-2-burner-glass-top-gas-stove-easy-to-clean-with-xl-spill-tray-sparkling-clean-in-2-minutes-5-year-glass-burner-warranty-lifetime-valve-warranty-isi-certified,,,src-preethi-p-silverin,exact_sku_code|launch_date,MEDIUM
preethi-gs-valentino-gts121,preethi,preethi-gas-stoves,preethi-gs-valentino,GTS121,Preethi Valentino Carbon Black,,Carbon Black,,India,CURRENT,src-preethi-p-valentino,,,https://www.shop.preethi.in/products/preethi-valentino-carbon-black-gts121,,,src-preethi-p-valentino,launch_date,HIGH
preethi-ic-ic125,preethi,preethi-induction-cooktops,preethi-ic-indicook,IC125,Preethi Indicook IC125,,Black,,India,CURRENT,src-preethi-p-indicook-ic125,,,https://www.shop.preethi.in/products/preethi-indicook-ic125-2100-watt-induction-cooktop-feather-touch-operation-with-crystal-glass-black-8901225061253,,,src-preethi-p-indicook-ic125,launch_date,HIGH
preethi-ic-ic116,preethi,preethi-induction-cooktops,preethi-ic-indicook,IC116,Preethi Indicook Trendy Plus,,,,India,CURRENT,src-preethi-p-indicook-ic116,,,https://www.shop.preethi.in/products/preethi-indicook-trendy-plus-ic-116,,,src-preethi-p-indicook-ic116,launch_date,HIGH
