source_id,url,publisher,title,tier,roles,geography,publication_date,retrieved_at,archive_path,sha256
src-preethi-001,https://www.versuni.com/about-us/brands/,Versuni,Versuni brand portfolio,A,IDENTITY,Global,,2026-08-26,,
src-preethi-002,https://www.versuni.com/newsroom/philips-domestic-appliances-becomes-versuni/,Versuni Newsroom,Philips Domestic Appliances becomes Versuni,A,IDENTITY,Global,,2026-08-26,,
src-preethi-003,https://www.shop.preethi.in/,Preethi,Preethi official store,A,IDENTITY,India,,2026-08-26,,
src-preethi-004,https://www.shop.preethi.in/collections/mixer-grinder,Preethi,Mixer Grinder collection,A,IDENTITY|SPEC,India,,2026-08-26,,
src-preethi-005,https://www.shop.preethi.in/collections/gas-stove,Preethi,Gas Stove collection,A,IDENTITY|SPEC,India,,2026-08-26,,
src-preethi-006,https://www.shop.preethi.in/collections/cookware,Preethi,Cookware collection,A,IDENTITY|SPEC,India,,2026-08-26,,
src-preethi-007,https://www.shop.preethi.in/collections/induction-cooktop,Preethi,Induction Cooktop collection,A,IDENTITY|SPEC,India,,2026-08-26,,
src-preethi-008,https://www.shop.preethi.in/collections/chimney,Preethi,Chimney collection,A,IDENTITY|SPEC,India,,2026-08-26,,
src-preethi-009,https://www.shop.preethi.in/collections/pressure-cooker,Preethi,Pressure Cooker collection,A,IDENTITY|SPEC,India,,2026-08-26,,
src-preethi-p-zodiac-mg218,https://www.shop.preethi.in/products/preethi-zodiac-mg218,Preethi,Preethi Zodiac MG218 product page,A,IDENTITY|SPEC|IMAGE,India,,2026-08-26,,
src-preethi-p-zodiac2-mg255,https://www.shop.preethi.in/products/preethi-zodiac-2-0-1000w-mg255,Preethi,Preethi Zodiac 2.0 MG255 product page,A,IDENTITY|SPEC,India,,2026-08-26,,
src-preethi-p-blueleaf-mg281,https://www.shop.preethi.in/products/preethi-blue-leaf-titanium-15-0-mg-281-8901225782813,Preethi,Preethi Blue Leaf Titanium 15.0 product page,A,IDENTITY|SPEC,India,,2026-08-26,,
src-preethi-p-diamond-mg214,https://www.shop.preethi.in/products/preethi-platinum-diamond-mg214-002,Preethi,Preethi Diamond MG214 product page,A,IDENTITY|SPEC,India,,2026-08-26,,
src-preethi-p-ecoplus-mg138,https://www.shop.preethi.in/products/preethi-eco-plus-110-v-local-mg-138,Preethi,Preethi Eco Plus 110V MG138 product page,A,IDENTITY|SPEC,USA/Canada,,2026-08-26,,
src-preethi-p-glamsteel,https://www.shop.preethi.in/products/preethi-glamsteel-3-burner-stainless-steel-gas-stove-manual-ignition-isi-certified-lifelong-free-service,Preethi,Preethi Glamsteel 3 Burner Gas Stove product page,A,IDENTITY|SPEC|IMAGE,India,,2026-08-26,,
src-preethi-p-silverin,https://www.shop.preethi.in/products/preethi-silverin-2-burner-glass-top-gas-stove-easy-to-clean-with-xl-spill-tray-sparkling-clean-in-2-minutes-5-year-glass-burner-warranty-lifetime-valve-warranty-isi-certified,Preethi,Preethi Silverin 2 Burner Gas Stove product page,A,IDENTITY|SPEC,India,,2026-08-26,,
src-preethi-p-valentino,https://www.shop.preethi.in/products/preethi-valentino-carbon-black-gts121,Preethi,Preethi Valentino Carbon Black GTS121 product page,A,IDENTITY|SPEC,India,,2026-08-26,,
src-preethi-p-indicook-ic125,https://www.shop.preethi.in/products/preethi-indicook-ic125-2100-watt-induction-cooktop-feather-touch-operation-with-crystal-glass-black-8901225061253,Preethi,Preethi Indicook IC125 product page,A,IDENTITY|SPEC|IMAGE,India,,2026-08-26,,
src-preethi-p-indicook-ic116,https://www.shop.preethi.in/products/preethi-indicook-trendy-plus-ic-116,Preethi,Preethi Indicook Trendy Plus IC116 product page,A,IDENTITY|SPEC,India,,2026-08-26,,
src-preethi-p-alcor-kh311,https://www.shop.preethi.in/products/preethi-chimney-auto-clean-wall-mounted-alcor-with-aluminium-duct-black-1350-90-cm-motion-sensor-operation-lifelong-free-service-kh311,Preethi,Preethi ALCOR Chimney KH311 product page,A,IDENTITY|SPEC|IMAGE,India,,2026-08-26,,
src-preethi-p-alcor-kh317,https://www.shop.preethi.in/products/preethi-chimney-auto-clean-wall-mounted-alcor-with-aluminium-duct-black-1200-60-cm-voice-control-lifelong-free-service-kh317,Preethi,Preethi ALCOR Chimney KH317 product page,A,IDENTITY|SPEC,India,,2026-08-26,,
src-preethi-p-pc024,https://www.shop.preethi.in/products/preethi-induction-base-outer-lid-aluminium-pressure-cooker-5-litres-spill-splash-shield-pc-024-8901225220247,Preethi,Preethi Aluminium Pressure Cooker PC024 product page,A,IDENTITY|SPEC|IMAGE,India,,2026-08-26,,
src-preethi-p-kadai26,https://www.shop.preethi.in/products/preethi-dura-collection-non-stick-kadai-26-cm-with-glass-lid-gas-induction-compatible-5-star-non-stick-effect-chilly-red-8901225360332,Preethi,Preethi Dura Collection Kadai 26cm product page,A,IDENTITY|SPEC|IMAGE,India,,2026-08-26,,
src-preethi-p-csw037,https://www.shop.preethi.in/products/preethi-csw-daily-ai-fryfan-nim-24-csw037,Preethi,Preethi CSW Daily Fry Pan CSW037 product page,A,IDENTITY|SPEC,India,,2026-08-26,,
src-73f7b32c78d2,https://www.home-appliances.philips/gb/en/home-life-products/air-purifier-and-air-humidifier/air-purifiers/c/AIR_PURIFIERS_SU,Philips/Versuni (UK),,A,IDENTITY|SPEC|STATUS,UK,,2026-08-26,,
src-45ecc10733b0,https://www.home-appliances.philips/gb/en/p/AC0650_20,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,UK,,2026-08-26,,
src-b75e99135918,https://www.home-appliances.philips/gb/en/p/AC0651_10,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,UK,,2026-08-26,,
src-5e58ec9a3e3b,https://www.usa.philips.com/c-p/AC0850_41/800i-series-compact-air-purifier,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,US,,2026-08-26,,
src-cda4f175a7f7,https://www.home-appliances.philips/gb/en/p/AC0920_10,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,UK,,2026-08-26,,
src-2da3761ea524,https://www.home-appliances.philips/gb/en/p/AC0950_10,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,UK,,2026-08-26,,
src-c4c366a776ba,https://www.home-appliances.philips/gb/en/p/AC0951_13,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,UK,,2026-08-26,,
src-e7d712619cb6,https://www.usa.philips.com/c-p/AC1715_41/1000i-series-air-purifier-for-medium-rooms,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,US,,2026-08-26,,
src-3aa5bb1646c5,https://www.usa.philips.com/c-p/AC2889_40/2000i-series,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,US,,2026-08-26,,
src-08703bb70836,https://www.home-appliances.philips/gb/en/p/AC2220_10,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,UK,,2026-08-26,,
src-0902dbde5700,https://www.philips.com.au/c-p/AC3033_73/3000i-series,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,AU,,2026-08-26,,
src-2bcfed181e45,https://www.home-appliances.philips/gb/en/p/AC3220_10,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,UK,,2026-08-26,,
src-1b5dbd9d9a5b,https://www.home-appliances.philips/gb/en/p/AC3420_10,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,UK,,2026-08-26,,
src-ed67ff134930,https://www.philips.com.au/c-p/AC4220_12/smart-air-purifier,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,AU,,2026-08-26,,
src-4b97a4f1b2b7,https://www.philips.co.za/c-p/AMF220_15/2000-series-3-in-1-purifier-fan-and-heater,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,ZA,,2026-08-26,,
src-decc9efab772,https://www.home-appliances.philips/gb/en/p/AMF765_30,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,UK,,2026-08-26,,
src-82864615a92a,https://www.home-appliances.philips/gb/en/p/AMF870_35,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,UK,,2026-08-26,,
src-da1f08f32336,https://www.usa.philips.com/c-p/AC5659_40/series-5000i-air-purifier,Philips/Versuni,,A,IDENTITY|SPEC|STATUS,US,,2026-08-26,,
src-7d08237668ee,https://www.versuni.com/about-us/brands/,Versuni,,A,IDENTITY|SPEC,,,2026-08-26,,
src-ee9a8faed1c6,https://www.senseo.us/about-senseo/the-world-of-senseo/,Senseo US,,A,IDENTITY|SPEC,,,2026-08-26,,
src-f6e826ecbd55,https://www.walita.com.br/institucionais/sobre-nos,Philips Walita,,A,IDENTITY|SPEC,,,2026-08-26,,
src-c7773721288c,https://www.usa.philips.com/c-m-ho/coffee/latest,philips,,A,IDENTITY|SPEC,,,2026-08-26,,
src-f5f26fe9195c,https://saeco.com/models/,saeco,,A,IDENTITY|SPEC,,,2026-08-26,,
src-e61ea6ec7c22,https://www.gaggia.com/,gaggia,,A,IDENTITY|SPEC,,,2026-08-26,,
src-cc15b0eeed35,https://www.senseo.nl/koffiemachines/senseo-original/,senseo,,A,IDENTITY|SPEC|STATUS,,,2026-08-26,,
