product_id,field,raw_value,unit,normalized_value,normalized_unit,source_id,exact_source_location,epistemic_state
preethi-mg-zodiac-mg218,power_w,750W,W,750,W,src-preethi-p-zodiac-mg218,product page spec table,OBSERVED
preethi-mg-zodiac-mg218,voltage,230V/50Hz,V,230,V,src-preethi-p-zodiac-mg218,product page spec table,OBSERVED
preethi-mg-zodiac-mg218,jar_count,4 jars (incl 2.1L Master Chef Plus),count,4,count,src-preethi-p-zodiac-mg218,product page spec table,OBSERVED
preethi-mg-zodiac-mg218,speed_settings,3 speeds + incher,,,,src-preethi-p-zodiac-mg218,product page spec table,OBSERVED
preethi-mg-zodiac2-mg255,power_w,1000W,W,1000,W,src-preethi-p-zodiac2-mg255,product page spec table,OBSERVED
preethi-mg-zodiac2-mg255,jar_count,3 jars,count,3,count,src-preethi-p-zodiac2-mg255,product page spec table,OBSERVED
preethi-mg-blueleaf-mg281,power_w,1000W,W,1000,W,src-preethi-p-blueleaf-mg281,product page spec table,OBSERVED
preethi-mg-blueleaf-mg281,jar_count,7 jars,count,7,count,src-preethi-p-blueleaf-mg281,product page spec table,OBSERVED
preethi-mg-diamond-mg214,power_w,750W,W,750,W,src-preethi-p-diamond-mg214,product page title/spec,OBSERVED
preethi-mg-ecoplus-mg138,voltage,110V,V,110,V,src-preethi-p-ecoplus-mg138,product title,OBSERVED
preethi-gs-glamsteel-3b,burner_count,3 burners,count,3,count,src-preethi-p-glamsteel,product page,OBSERVED
preethi-gs-glamsteel-3b,body_material,stainless steel,,,,src-preethi-p-glamsteel,product page,OBSERVED
preethi-gs-glamsteel-3b,ignition_type,manual ignition,,,,src-preethi-p-glamsteel,product page,OBSERVED
preethi-gs-glamsteel-3b,certification,ISI certified,,,,src-preethi-p-glamsteel,product page,OBSERVED
preethi-gs-silverin-2b,burner_count,2 burners,count,2,count,src-preethi-p-silverin,product page,OBSERVED
preethi-gs-silverin-2b,top_material,glass top,,,,src-preethi-p-silverin,product page,OBSERVED
preethi-gs-silverin-2b,certification,ISI certified,,,,src-preethi-p-silverin,product page,OBSERVED
preethi-gs-silverin-2b,warranty,5-yr glass/burner warranty,,,,src-preethi-p-silverin,product page,OBSERVED
preethi-ic-ic125,power_w,2100W,W,2100,W,src-preethi-p-indicook-ic125,product page,OBSERVED
preethi-ic-ic125,controls,feather-touch controls,,,,src-preethi-p-indicook-ic125,product page,OBSERVED
preethi-ic-ic125,top_material,crystal glass top,,,,src-preethi-p-indicook-ic125,product page,OBSERVED
preethi-ic-ic116,power_w,1600W,W,1600,W,src-preethi-p-indicook-ic116,product page,OBSERVED
